No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
17,NEOS,45.34M,-,-,-,0.80,-,3.57,-,78.80%,75.80%,28.10%,31.70%,143.30%,0.93,6.07%,"10,134,450"
18,TNXP,249.57M,-,-,-,-,2.02,4.48,-,92.80%,40.40%,-,-,-,0.99,-2.88%,"24,046,041"
19,PTE,70.94M,-,-,-,8.87,1.58,3.06,-,-329.30%,22.90%,5.60%,15.00%,-3.30%,1.00,-2.37%,"5,923,475"
20,SONM,65.00M,-,-,-,1.00,1.92,2.05,-,-205.30%,43.60%,-,25.00%,-,1.00,-1.96%,"4,240,130"
21,ZSAN,102.19M,-,-,-,-,1.44,-,-,38.70%,27.80%,47.10%,-,-,1.02,-3.77%,"4,289,321"
22,USWS,65.11M,-,-,-,0.23,-,130.21,-,-58.90%,54.80%,-,-,-,1.02,4.86%,"15,308,275"
23,PXS,23.35M,-,-,-,0.84,0.79,25.94,-,-0.10%,-,18.20%,-,0.00%,1.04,-3.70%,"369,051"
24,PLIN,31.30M,-,-,-,0.28,0.99,18.41,-,-157.30%,-,-,-,-,1.04,0.00%,"929,890"
25,MBRX,65.54M,-,-,-,-,4.33,5.12,-,29.30%,0.00%,-20.70%,-,-,1.04,0.00%,"2,196,901"
26,TGA,78.73M,-,4.20,-,0.71,0.55,2.91,1.93,-125.50%,167.60%,-19.10%,-13.14%,-13.10%,1.05,-2.78%,"304,439"
27,ARTL,14.79M,-,-,-,-,1.19,2.00,-,-25.60%,14.30%,-,-,-,1.06,-7.02%,"2,094,389"
28,RAVE,19.28M,-,-,-,2.12,26.75,6.65,-,-461.60%,-,-10.30%,10.00%,-26.90%,1.07,-3.60%,"412,980"
29,PFIE,53.69M,-,-,-,2.25,1.20,5.02,-,-66.00%,33.30%,-17.70%,21.00%,-5.30%,1.12,4.67%,"146,093"
30,CXDC,76.24M,-,-,-,0.07,0.09,0.37,-,-95.60%,-,-52.30%,-,5.50%,1.12,1.82%,"200,550"
31,PFMT,62.83M,-,-,-,0.39,1.62,4.00,5.11,-226.00%,-,-36.00%,20.00%,-5.10%,1.12,-1.75%,"932,997"
32,TLGT,26.66M,-,-,-,0.52,-,2.75,-,31.00%,-26.00%,-49.50%,15.00%,14.30%,1.14,1.79%,"3,358,341"
33,CJJD,44.45M,-,-,-,0.35,1.53,2.04,-,-453.40%,-,-38.70%,30.00%,8.80%,1.18,-0.84%,"506,625"
34,CCLP,55.87M,-,-,-,0.14,-,3.35,-,49.80%,23.70%,-24.00%,3.70%,11.00%,1.18,2.61%,"389,511"
35,NMTR,237.33M,-,-,-,-,39.67,19.14,-,16.80%,85.70%,43.20%,-,-,1.19,-0.83%,"6,135,538"
36,SLRX,23.90M,-,-,-,4.98,1.04,2.49,-,93.00%,18.50%,28.30%,-,-,1.20,-6.98%,"603,343"
37,SHIP,84.14M,1.29,24.00,-,1.21,0.64,2.49,-,90.90%,100.90%,-14.90%,-,112.20%,1.20,-0.83%,"30,895,302"
38,NXTD,37.66M,-,-,-,2.92,5.55,17.93,-,-50.80%,-,51.00%,-,-,1.22,4.27%,"7,793,186"
39,CYRN,77.34M,-,-,-,2.06,4.69,6.00,-,9.80%,-,-5.90%,20.00%,3.80%,1.22,-0.81%,"632,694"
40,BBI,61.78M,-,-,-,24.71,1.84,3.06,-,13.60%,31.00%,19.10%,-,-12.30%,1.23,-3.91%,"2,102,446"
61,JFU,254.81M,-,-,-,0.54,0.30,0.45,-,-240.10%,-,-,-13.22%,-,1.35,-6.90%,"1,548,926"
62,BRQS,55.79M,-,-,-,0.67,-,46.49,-,61.80%,-,-,-,-,1.36,7.09%,"12,896,439"
63,NVCN,39.27M,-,-,-,19.55,46.90,-,-,79.70%,50.00%,-,-,-,1.36,4.62%,"1,464,083"
64,HDSN,58.03M,-,272.00,-,0.38,1.28,6.31,2.49,53.50%,100.00%,36.28%,30.00%,23.80%,1.36,15.25%,"7,531,120"
65,OTLK,170.35M,-,-,-,-,68.00,13.63,-,66.00%,23.50%,43.50%,-,-,1.36,0.00%,"841,497"
66,AACG,45.39M,-,-,-,1.91,1.19,2.62,-,-37.70%,-,-48.00%,25.00%,-22.50%,1.38,-0.59%,"13,968"
67,FAMI,26.54M,-,-,-,0.88,0.82,5.20,44.23,-109.10%,-,-,-,-,1.42,-0.70%,"480,077"
68,RMTI,129.10M,-,-,-,2.07,2.42,1.92,-,7.90%,50.00%,-1.70%,38.00%,2.50%,1.43,-2.05%,"2,659,821"
69,IFMK,46.23M,-,-,-,0.52,5.11,5.93,-,42.80%,-,-64.50%,-,-6.90%,1.43,13.49%,"4,287,106"
70,NAOV,27.26M,-,-,-,45.43,4.09,8.52,-,-26.10%,-,39.60%,-,21.20%,1.43,-0.69%,"3,553,976"
71,HNRG,46.02M,-,6.26,-,0.18,0.23,8.68,1.65,-888.00%,1250.00%,-50.40%,-,5.90%,1.44,5.88%,"241,807"
72,XELB,28.25M,-,-,-,0.85,0.29,5.89,15.70,-405.30%,-,11.50%,10.00%,15.00%,1.46,-3.95%,"92,434"
73,CTHR,41.25M,-,14.70,-,1.40,1.00,2.99,103.12,-309.00%,66.67%,2.90%,30.00%,2.60%,1.47,1.38%,"164,170"
74,HSTO,39.48M,-,-,-,18.80,2.41,-,-,42.10%,-,25.00%,38.00%,-,1.47,13.08%,"6,576,078"
75,MYSZ,12.72M,-,-,-,74.41,3.08,-,-,-,-,-15.28%,25.00%,-,1.48,-1.33%,"252,033"
76,EAST,14.80M,-,-,-,0.94,16.56,14.80,-,-22.40%,69.70%,24.20%,-,71.40%,1.49,-4.49%,"290,126"
77,BIOL,146.97M,-,-,-,6.02,8.82,7.82,-,28.40%,75.00%,19.20%,20.00%,-4.50%,1.50,44.23%,"122,720,799"
78,INPX,65.00M,-,-,-,8.90,1.58,2.07,-,-,-,-,20.00%,-36.90%,1.50,-6.83%,"5,245,550"
79,BXRX,69.19M,-,-,-,172.97,-,2.81,-,57.10%,81.70%,-,-,-,1.51,2.72%,"5,539,150"
80,SNCA,25.40M,-,-,-,1878.64,1.85,2.00,-,41.50%,-,43.80%,-,-,1.52,-7.32%,"2,214,518"
81,PULM,50.44M,-,-,-,4.10,2.22,1.46,-,75.30%,-2.40%,48.70%,-,-,1.53,-5.56%,"1,421,449"
82,TXMD,440.33M,-,-,-,7.57,-,5.53,-,-21.30%,54.80%,-14.60%,17.60%,27.00%,1.53,-4.97%,"6,823,158"
83,AIHS,71.36M,-,-,-,9.78,11.77,16.22,-,-145.10%,-,-,-,-,1.53,8.90%,"3,274,203"
84,RGLS,57.91M,-,-,-,11.58,7.75,3.25,-,80.70%,6.50%,41.30%,39.60%,-2.30%,1.55,21.09%,"6,149,350"
85,TH,155.81M,-,-,-,0.62,1.40,17.12,3.51,-45.00%,6.50%,-,15.00%,-,1.57,0.00%,"102,896"
86,ENTX,34.46M,-,-,-,172.31,5.06,-,-,1.20%,-,-,-,-,1.57,-3.68%,"277,624"
87,ITRM,79.58M,-,-,-,-,-,8.04,-,-32.40%,56.30%,-,-,-,1.58,-12.71%,"28,520,555"
88,UONEK,102.21M,-,-,-,0.28,0.43,1.00,1.51,-99.30%,-,15.00%,-,-0.20%,1.60,6.67%,"1,855,051"
89,NVIV,30.70M,-,-,-,-,1.01,3.89,-,74.90%,-,43.70%,-,-,1.61,-4.17%,"10,992,316"
90,PME,130.77M,22.19,-,-,1.44,0.88,38.46,-,-57.60%,-,-41.90%,-,-17.40%,1.62,-2.99%,"245,361"
91,MBII,273.05M,-,-,-,7.30,10.80,30.34,-,-57.80%,28.60%,32.90%,-,26.30%,1.62,2.53%,"779,022"
92,ICON,20.03M,-,-,-,0.17,-,0.28,0.60,36.20%,-,-20.90%,15.00%,-17.60%,1.63,-4.12%,"332,378"
93,SNGX,45.30M,-,-,-,16.78,6.52,4.01,-,28.50%,35.80%,31.70%,1.00%,-8.00%,1.63,-11.89%,"9,367,667"
94,SFET,29.77M,-,-,-,6.33,0.28,-,-,-,-,-,-,-,1.64,-0.61%,"675,487"
95,ADMP,108.93M,-,-,-,5.92,4.56,8.78,-,44.90%,64.40%,9.10%,-,-,1.64,-4.65%,"18,387,043"
96,SALM,47.83M,-,-,-,0.20,0.34,2.48,1.98,-761.50%,100.00%,-47.60%,7.00%,-1.00%,1.69,2.42%,"352,000"
97,GNUS,403.01M,-,-,-,212.11,5.83,7.98,-,-16.80%,-,6.90%,-,44.90%,1.69,-5.06%,"27,545,982"
98,GERN,515.50M,-,-,-,1288.75,2.36,2.26,-,-135.50%,-11.10%,-9.20%,5.00%,-16.80%,1.72,-2.27%,"3,390,458"
99,CREX,17.85M,-,-,-,0.97,4.20,19.84,-,102.60%,-,15.20%,-,18.70%,1.72,-2.27%,"403,383"
100,SVRA,92.59M,-,-,-,308.63,1.36,0.98,-,-5.70%,37.50%,34.70%,-,-,1.73,-3.89%,"365,604"
181,YVR,18.35M,-,-,-,-,2.26,11.47,-,43.30%,-,22.90%,-,-3.90%,2.19,-6.01%,"1,638,400"
182,MRIN,19.47M,-,-,-,0.57,1.42,2.43,-,72.70%,-,22.10%,20.00%,-13.20%,2.19,1.39%,"1,255,342"
183,SPRT,42.46M,73.33,-,7.33,0.91,1.25,1.43,10.89,141.80%,-,24.60%,10.00%,-5.30%,2.20,2.33%,"156,216"
184,MTP,27.75M,-,-,-,-,2.17,-,-,-,-,-,-,-,2.20,-9.84%,"831,769"
185,MYT,16.91M,-,-,-,18.79,0.52,1.73,-,-22.70%,-,-18.00%,-,-66.40%,2.21,7.28%,"756,038"
186,HUGE,42.35M,-,-,-,-,-,-,-,-,-,-,-,-,2.21,-2.64%,"542,435"
187,KOR,-,-,-,-,-,-,-,-,-,-,-,-,-,2.21,-3.07%,"129,440"
188,XCUR,191.99M,-,-,-,11.43,2.64,2.04,-,16.20%,-96.00%,-,-,-,2.22,-3.06%,"582,292"
189,HEPA,71.42M,-,-,-,-,1.79,5.21,-,93.70%,42.70%,59.90%,-,-,2.22,-2.20%,"650,714"
190,MICT,153.27M,-,-,-,510.89,1.00,8.24,-,51.80%,82.80%,-1.50%,-,-57.50%,2.23,-1.33%,"265,437"
191,THTX,209.27M,-,-,-,3.30,-,-,-,-,-,-,-,-,2.23,-2.62%,"367,670"
192,CLBS,45.25M,-,-,-,-,1.10,1.12,-,-12.40%,40.70%,35.50%,-,-,2.23,-2.62%,"1,371,735"
193,ABEO,206.15M,-,-,-,29.45,1.82,2.13,-,-27.10%,26.50%,37.00%,-,-,2.24,-3.86%,"3,883,747"
194,BYFC,43.22M,-,-,-,2.39,1.24,0.59,-,-125.30%,-,-15.60%,-,1.40%,2.25,7.66%,"15,800,505"
195,RCON,14.44M,-,226.00,-,1.42,0.64,3.07,-,35.80%,105.60%,33.60%,-,5.00%,2.26,-11.72%,"2,416,440"
196,MHLD,195.65M,19.08,-,1.59,0.95,2.64,2.13,-,77.00%,-,-26.70%,12.00%,-24.70%,2.27,-1.73%,"323,652"
197,SNES,9.22M,-,-,-,46.08,2.47,3.41,-,39.10%,48.20%,11.60%,30.00%,-6.40%,2.27,0.00%,"429,844"
198,CDEV,571.22M,-,-,-,0.83,0.23,109.85,1.86,-92.20%,99.10%,-30.40%,-,48.30%,2.27,-6.58%,"6,334,857"
199,GRIL,25.65M,-,-,-,5.46,2.47,4.21,-,-,-,-,-,10.70%,2.27,3.65%,"1,083,123"
200,ASTC,40.54M,-,-,-,67.56,-,21.34,-,14.10%,-,12.90%,-,-1.00%,2.28,-5.00%,"791,994"
221,AESE,82.21M,-,-,-,3.57,1.63,14.17,-,-10.80%,53.10%,-,-,-,2.41,38.51%,"18,654,845"
222,ONCY,114.14M,-,-,-,-,6.10,5.41,-,-40.70%,-,5.80%,-,-,2.44,-2.40%,"1,264,684"
223,BLRX,58.35M,-,-,-,-,1.95,-,-,45.50%,0.70%,-,-,-,2.46,-0.81%,"1,837,027"
224,OPGN,54.61M,-,-,-,14.76,2.76,5.20,-,82.70%,33.70%,51.70%,-,-3.20%,2.46,7.42%,"2,024,400"
